plot_id,x,y,hdom,n,g,v,v_pine,v_spruce,v_decid,v_dead
26,664200.3,6935805.3,16.8,1336.9,25.9,193.5,193.4,0.0,0.1,0.6
27,664337.4,6935668,19.9,1368.7,26.3,219.7,214.6,2.6,2.5,5.7
28,664350,6935505.5,15.6,1050.4,14.6,100.2,100.2,0.0,0.0,0.8
29,664200.3,6935505.1,18.9,2100.8,26.7,203.8,181.3,2.5,20.0,4.3
30,663725.3,6935655.5,16.1,1114.1,15.0,103.9,100.7,0.1,3.1,0.0
31,663724.9,6935505.4,15.4,573.0,13.1,90.0,90.0,0.0,0.0,0.0
32,663874.9,6935505.6,15.9,1464.2,17.3,119.6,113.6,0.0,6.0,0.3
33,664063.3,6935410.1,26.1,1623.4,32.0,294.0,141.6,86.2,66.1,0.0
34,663750.4,6935205.3,17.8,795.8,21.9,175.2,175.2,0.0,0.0,0.4
35,663900.1,6935204.9,19.2,827.6,23.2,195.8,195.8,0.0,0.0,0.5
36,663900.3,6935054.8,17.0,1177.7,21.1,159.5,159.5,0.0,0.0,0.6
37,664187.8,6935067.7,16.9,2132.7,27.8,198.2,194.2,0.0,4.0,0.4
38,664337.4,6935067.9,22.6,1241.4,28.8,279.6,270.4,0.0,9.3,3.3
39,664187.1,6934917.6,15.7,1846.2,21.6,146.5,144.0,0.0,2.5,0.0
40,664475,6934905,26.3,1527.9,38.5,404.9,398.8,0.0,6.1,0.0
41,664199.9,6934755,24.0,923.1,28.3,283.6,282.3,0.1,1.1,0.8
42,664200.3,6934605.1,22.6,445.6,12.9,126.6,124.9,0.0,1.7,9.3
43,664487.7,6934617.9,22.2,1973.5,28.0,264.2,258.2,0.0,6.0,0.0
44,664487.6,6934467.9,23.3,477.5,18.9,191.2,191.2,0.0,0.0,3.4
45,664637.4,6934467.6,15.4,636.6,14.0,97.9,97.9,0.0,0.0,0.0
46,664800,6935505.6,18.7,1718.9,34.6,264.0,264.0,0.0,0.0,2.7
47,664800,6935355.1,19.1,2100.8,28.8,228.4,228.3,0.0,0.1,2.3
48,664799.9,6935205.4,17.1,1814.4,23.4,164.6,163.6,0.0,1.0,0.0
49,664938.1,6934917.3,18.1,891.3,19.8,154.4,154.1,0.0,0.3,0.0
50,665087.4,6934617.6,16.6,1050.4,17.0,128.3,128.3,0.0,0.0,1.6
51,665087.8,6934467.8,14.3,2005.4,19.1,119.9,118.3,0.0,1.6,0.1
203,664074.6,6935802.5,25.3,668.5,23.9,253.9,253.4,0.0,0.6,3.3
204,664163.9,6935673.3,24.7,636.6,27.1,287.9,284.8,3.1,0.0,1.0
320,664469.4,6935354.9,23.1,1718.9,17.2,150.5,135.4,0.0,15.1,0.1
321,664531.9,6935203.5,23.1,1305.1,31.3,311.0,282.9,17.4,10.7,11.7
322,664644.6,6935124.1,25.8,1082.3,33.6,312.3,141.3,0.0,170.9,3.2
323,665007.2,6935046.6,24.6,1527.9,17.5,160.6,124.2,0.0,36.3,0.3
325,664650.9,6935355,14.9,2005.4,19.4,121.7,119.0,0.0,2.7,1.8
