plot,tree,species,d13,h,v
26,23,1,12.7,14.8,0.094058008
26,25,1,19.6,16.1,0.237736102
26,28,1,13.3,14.8,0.103020973
26,29,1,19.3,16.6,0.237167148
26,33,1,17.5,14.4,0.172350051
26,35,1,14.5,15.3,0.125814497
26,37,1,17.4,15.3,0.179932867
26,41,1,19.5,15.4,0.226128465
26,42,1,13.9,14.5,0.110337939
26,43,1,17.9,15.2,0.189071873
26,44,1,15.7,15.4,0.147954388
26,46,1,15.7,13.8,0.134146028
26,48,1,14.6,13.3,0.112569439
26,51,1,17.2,15.4,0.176939242
26,53,1,17.4,16.5,0.192623343
26,56,1,13.3,13.6,0.095552799
26,58,1,19,15.4,0.214951531
26,60,1,12.8,13.8,0.0897529
26,61,1,12.1,13.6,0.079291982
26,63,1,13.2,15,0.102727527
26,66,1,12.5,12.9,0.080701734
26,67,1,13.1,14.7,0.099385078
26,69,1,17,16,0.178993735
26,72,1,16.9,14.4,0.160969282
26,73,1,11.5,13.5,0.071245453
26,77,1,15.8,14.5,0.141940978
26,78,1,16.4,14.6,0.153647986
26,79,1,20.3,17.3,0.27172879
26,81,1,14,14.2,0.109840031
26,82,1,16.1,14.6,0.148184199
26,83,1,24.5,16.1,0.366742301
26,87,1,18,16,0.200180555
26,92,1,22.3,15.8,0.300464143
26,500,1,11.8,13.2,0.073492962
26,502,1,6.7,10.7,0.019925368
26,503,1,10.1,12.8,0.052581243
26,504,1,15.5,14.2,0.134174664
26,505,1,13,14.1,0.09432374
26,510,1,15.9,15,0.148134196
26,603,1,18.9,15.1,0.20902177
26,604,1,8.7,12.8,0.039110716
26,612,3,3,4.9,0.002284468
27,21,1,21.3,15.1,0.263857119
27,23,1,17.4,16.9,0.196857049
27,25,1,16.5,17.1,0.179313704
27,26,1,20.5,18.3,0.291558865
27,30,1,15.7,18.5,0.174780901
27,31,1,16.2,16.5,0.167455262
27,35,1,27.4,18.4,0.513950593
27,37,1,20.9,18.4,0.304251921
27,38,1,18.9,18.6,0.252568853
27,41,1,22.2,18.2,0.33871272
27,43,1,19.4,20,0.284138112
27,46,1,27.8,20,0.570632187
27,47,1,20.3,17.1,0.268867076
27,48,1,16.2,17.6,0.177579875
27,51,1,19,19.8,0.270296898
27,52,1,12.8,16.6,0.105933421
27,55,1,17.9,18,0.220391975
27,56,1,22.9,19.6,0.38509886
27,59,1,20.6,17.4,0.281076964
27,61,1,18.5,15.9,0.210001705
27,66,1,24,17.2,0.374173164
27,68,1,18.2,17,0.216107275
27,502,2,6.4,5.9,0.010982764
27,503,2,6.4,6,0.011142783
27,504,1,13.4,16.1,0.112778679
27,506,2,6.4,5.4,0.010204339
27,507,8,10.8,6.1,0.029650418
27,508,3,5.2,8.3,0.010263848
27,510,1,10.6,15.2,0.067397986
27,514,1,9.3,14,0.048321267
27,519,2,7.8,6.6,0.017504242
27,520,2,8.4,6.9,0.020910878
27,523,3,6.9,11.2,0.023811523
27,524,3,2.3,4.9,0.001381682
27,526,3,2.9,5.1,0.002207985
27,527,3,4.3,5.3,0.004779534
27,528,3,3,5,0.002319017
27,530,3,2.4,4.4,0.001390201
27,531,2,6.4,5.4,0.010204339
27,532,1,16.3,16.8,0.172282318
27,533,1,21.6,16.5,0.293703021
27,534,3,3.5,7.2,0.004245449
27,535,3,4.1,7.1,0.005643134
28,18,1,19.4,14.7,0.214724569
28,21,1,15.8,14.6,0.14281479
28,23,1,15.5,15.1,0.14174957
28,25,1,12.5,12,0.07576388
28,28,1,20.8,15.2,0.253436967
28,31,1,14.9,16.2,0.139749572
28,37,1,18.2,15,0.193010414
28,43,1,14.8,13.9,0.120224911
28,44,1,16.4,15.2,0.159291437
28,45,1,14.6,13.3,0.112569439
28,46,1,13.6,12.4,0.092060567
28,48,1,17.4,13.7,0.163043981
28,50,1,10.2,12,0.050681822
28,54,1,12.1,10.7,0.064386949
28,57,1,17.2,15.1,0.17384002
28,60,1,17,14,0.158807977
28,62,1,15.3,14.1,0.129975797
28,65,1,5.2,7.6,0.009090342
28,66,1,14.6,14,0.117798754
28,70,1,10.3,10.5,0.046079889
28,501,1,5.5,7.3,0.009856496
28,502,1,6.2,7.5,0.012780687
28,504,1,20.8,15.4,0.256431555
28,507,1,7.1,8.5,0.018482121
28,511,1,4.3,5.9,0.005157136
28,512,1,10.2,12.2,0.051415157
28,513,1,9.5,11.5,0.042429856
28,514,1,7,6.7,0.014944576
28,515,1,15.2,12.3,0.113771964
28,516,1,7.2,9.1,0.020086381
28,518,1,7.1,7.3,0.016398565
28,522,1,6.8,8.4,0.016799095
28,523,1,5.5,7.7,0.010271563
29,13,1,24.7,18,0.412335317
29,16,1,27.8,18,0.517956618
29,21,1,28.2,18.4,0.543206925
29,22,1,20,18.8,0.284821561
29,25,1,23.6,17.5,0.367942317
29,26,3,4.1,7,0.005568171
29,27,3,7.7,9.9,0.025557809
29,30,1,24.2,17.9,0.39432623
29,31,1,19.5,18.8,0.271102428
29,34,1,17.9,14.6,0.182373347
29,37,1,19.2,17.4,0.24504172
29,38,1,18,19.1,0.235265521
29,39,1,26.9,18.9,0.508399371
29,44,3,7.1,9.1,0.020137431
29,46,1,18.9,17.9,0.243848884
